"REF_DATE","GEO","DGUID","Age of mother","Characteristics","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"1991","Prince Edward Island, place of residence of mother","2016A000211","Age of mother, not stated","Percentage of live births","Percentage","242","units","0","v21404550","3.10.2","0.0","","","","1"
"1991","Nova Scotia, place of residence of mother","2016A000212","Age of mother, all ages","Number of live births","Number","223","units","0","v21404551","4.1.1","12026","","","","0"
"1991","Nova Scotia, place of residence of mother","2016A000212","Age of mother, all ages","Percentage of live births","Percentage","242","units","0","v21404552","4.1.2","100.0","","","","1"
"1991","Nova Scotia, place of residence of mother","2016A000212","Age of mother, under 15 years","Number of live births","Number","223","units","0","v21404553","4.2.1","9","","","","0"
"1991","Nova Scotia, place of residence of mother","2016A000212","Age of mother, under 15 years","Percentage of live births","Percentage","242","units","0","v21404554","4.2.2","0.1","","","","1"
"1991","Nova Scotia, place of residence of mother","2016A000212","Age of mother, 15 to 19 years","Number of live births","Number","223","units","0","v21404555","4.3.1","1028","","","","0"
"1991","Nova Scotia, place of residence of mother","2016A000212","Age of mother, 15 to 19 years","Percentage of live births","Percentage","242","units","0","v21404556","4.3.2","8.5","","","","1"
"1991","Nova Scotia, place of residence of mother","2016A000212","Age of mother, 20 to 24 years","Number of live births","Number","223","units","0","v21404557","4.4.1","2776","","","","0"
"1991","Nova Scotia, place of residence of mother","2016A000212","Age of mother, 20 to 24 years","Percentage of live births","Percentage","242","units","0","v21404558","4.4.2","23.1","","","","1"
"1991","Nova Scotia, place of residence of mother","2016A000212","Age of mother, 25 to 29 years","Number of live births","Number","223","units","0","v21404559","4.5.1","4459","","","","0"
"1991","Nova Scotia, place of residence of mother","2016A000212","Age of mother, 25 to 29 years","Percentage of live births","Percentage","242","units","0","v21404560","4.5.2","37.1","","","","1"
"1991","Nova Scotia, place of residence of mother","2016A000212","Age of mother, 30 to 34 years","Number of live births","Number","223","units","0","v21404561","4.6.1","2824","","","","0"
"1991","Nova Scotia, place of residence of mother","2016A000212","Age of mother, 30 to 34 years","Percentage of live births","Percentage","242","units","0","v21404562","4.6.2","23.5","","","","1"
"1991","Nova Scotia, place of residence of mother","2016A000212","Age of mother, 35 to 39 years","Number of live births","Number","223","units","0","v21404563","4.7.1","823","","","","0"
"1991","Nova Scotia, place of residence of mother","2016A000212","Age of mother, 35 to 39 years","Percentage of live births","Percentage","242","units","0","v21404564","4.7.2","6.8","","","","1"
"1991","Nova Scotia, place of residence of mother","2016A000212","Age of mother, 40 to 44 years","Number of live births","Number","223","units","0","v21404565","4.8.1","98","","","","0"
"1991","Nova Scotia, place of residence of mother","2016A000212","Age of mother, 40 to 44 years","Percentage of live births","Percentage","242","units","0","v21404566","4.8.2","0.8","","","","1"
"1991","Nova Scotia, place of residence of mother","2016A000212","Age of mother, 45 to 49 years","Number of live births","Number","223","units","0","v21404567","4.9.1","9","","","","0"
"1991","Nova Scotia, place of residence of mother","2016A000212","Age of mother, 45 to 49 years","Percentage of live births","Percentage","242","units","0","v21404568","4.9.2","0.1","","","","1"
"1991","Nova Scotia, place of residence of mother","2016A000212","Age of mother, not stated","Number of live births","Number","223","units","0","v21404569","4.10.1","0","","","","0"
"1991","Nova Scotia, place of residence of mother","2016A000212","Age of mother, not stated","Percentage of live births","Percentage","242","units","0","v21404570","4.10.2","0.0","","","","1"
"1991","New Brunswick, place of residence of mother","2016A000213","Age of mother, all ages","Number of live births","Number","223","units","0","v21404571","5.1.1","9498","","","","0"
"1991","New Brunswick, place of residence of mother","2016A000213","Age of mother, all ages","Percentage of live births","Percentage","242","units","0","v21404572","5.1.2","100.0","","","","1"
"1991","New Brunswick, place of residence of mother","2016A000213","Age of mother, under 15 years","Number of live births","Number","223","units","0","v21404573","5.2.1","5","","","","0"
"1991","New Brunswick, place of residence of mother","2016A000213","Age of mother, under 15 years","Percentage of live births","Percentage","242","units","0","v21404574","5.2.2","0.1","","","","1"
"1991","New Brunswick, place of residence of mother","2016A000213","Age of mother, 15 to 19 years","Number of live births","Number","223","units","0","v21404575","5.3.1","893","","","","0"
"1991","New Brunswick, place of residence of mother","2016A000213","Age of mother, 15 to 19 years","Percentage of live births","Percentage","242","units","0","v21404576","5.3.2","9.4","","","","1"
"1991","New Brunswick, place of residence of mother","2016A000213","Age of mother, 20 to 24 years","Number of live births","Number","223","units","0","v21404577","5.4.1","2563","","","","0"
"1991","New Brunswick, place of residence of mother","2016A000213","Age of mother, 20 to 24 years","Percentage of live births","Percentage","242","units","0","v21404578","5.4.2","27.0","","","","1"
"1991","New Brunswick, place of residence of mother","2016A000213","Age of mother, 25 to 29 years","Number of live births","Number","223","units","0","v21404579","5.5.1","3571","","","","0"
"1991","New Brunswick, place of residence of mother","2016A000213","Age of mother, 25 to 29 years","Percentage of live births","Percentage","242","units","0","v21404580","5.5.2","37.6","","","","1"
"1991","New Brunswick, place of residence of mother","2016A000213","Age of mother, 30 to 34 years","Number of live births","Number","223","units","0","v21404581","5.6.1","1947","","","","0"
"1991","New Brunswick, place of residence of mother","2016A000213","Age of mother, 30 to 34 years","Percentage of live births","Percentage","242","units","0","v21404582","5.6.2","20.5","","","","1"
"1991","New Brunswick, place of residence of mother","2016A000213","Age of mother, 35 to 39 years","Number of live births","Number","223","units","0","v21404583","5.7.1","472","","","","0"
"1991","New Brunswick, place of residence of mother","2016A000213","Age of mother, 35 to 39 years","Percentage of live births","Percentage","242","units","0","v21404584","5.7.2","5.0","","","","1"
"1991","New Brunswick, place of residence of mother","2016A000213","Age of mother, 40 to 44 years","Number of live births","Number","223","units","0","v21404585","5.8.1","46","","","","0"
"1991","New Brunswick, place of residence of mother","2016A000213","Age of mother, 40 to 44 years","Percentage of live births","Percentage","242","units","0","v21404586","5.8.2","0.5","","","","1"
"1991","New Brunswick, place of residence of mother","2016A000213","Age of mother, 45 to 49 years","Number of live births","Number","223","units","0","v21404587","5.9.1","1","","","","0"
"1991","New Brunswick, place of residence of mother","2016A000213","Age of mother, 45 to 49 years","Percentage of live births","Percentage","242","units","0","v21404588","5.9.2","0.0","","","","1"
"1991","New Brunswick, place of residence of mother","2016A000213","Age of mother, not stated","Number of live births","Number","223","units","0","v21404589","5.10.1","0","","","","0"
"1991","New Brunswick, place of residence of mother","2016A000213","Age of mother, not stated","Percentage of live births","Percentage","242","units","0","v21404590","5.10.2","0.0","","","","1"
"1991","Quebec, place of residence of mother","2016A000224","Age of mother, all ages","Number of live births","Number","223","units","0","v21404591","6.1.1","97334","","","","0"
"1991","Quebec, place of residence of mother","2016A000224","Age of mother, all ages","Percentage of live births","Percentage","242","units","0","v21404592","6.1.2","100.0","","","","1"
"1991","Quebec, place of residence of mother","2016A000224","Age of mother, under 15 years","Number of live births","Number","223","units","0","v21404593","6.2.1","45","","","","0"
"1991","Quebec, place of residence of mother","2016A000224","Age of mother, under 15 years","Percentage of live births","Percentage","242","units","0","v21404594","6.2.2","0.0","","","","1"
"1991","Quebec, place of residence of mother","2016A000224","Age of mother, 15 to 19 years","Number of live births","Number","223","units","0","v21404595","6.3.1","3912","","","","0"
"1991","Quebec, place of residence of mother","2016A000224","Age of mother, 15 to 19 years","Percentage of live births","Percentage","242","units","0","v21404596","6.3.2","4.0","","","","1"
"1991","Quebec, place of residence of mother","2016A000224","Age of mother, 20 to 24 years","Number of live births","Number","223","units","0","v21404597","6.4.1","19822","","","","0"
"1991","Quebec, place of residence of mother","2016A000224","Age of mother, 20 to 24 years","Percentage of live births","Percentage","242","units","0","v21404598","6.4.2","20.4","","","","1"
"1991","Quebec, place of residence of mother","2016A000224","Age of mother, 25 to 29 years","Number of live births","Number","223","units","0","v21404599","6.5.1","39986","","","","0"
"1991","Quebec, place of residence of mother","2016A000224","Age of mother, 25 to 29 years","Percentage of live births","Percentage","242","units","0","v21404600","6.5.2","41.1","","","","1"
"1991","Quebec, place of residence of mother","2016A000224","Age of mother, 30 to 34 years","Number of live births","Number","223","units","0","v21404601","6.6.1","25760","","","","0"
"1991","Quebec, place of residence of mother","2016A000224","Age of mother, 30 to 34 years","Percentage of live births","Percentage","242","units","0","v21404602","6.6.2","26.5","","","","1"
"1991","Quebec, place of residence of mother","2016A000224","Age of mother, 35 to 39 years","Number of live births","Number","223","units","0","v21404603","6.7.1","6952","","","","0"
"1991","Quebec, place of residence of mother","2016A000224","Age of mother, 35 to 39 years","Percentage of live births","Percentage","242","units","0","v21404604","6.7.2","7.1","","","","1"
"1991","Quebec, place of residence of mother","2016A000224","Age of mother, 40 to 44 years","Number of live births","Number","223","units","0","v21404605","6.8.1","837","","","","0"
"1991","Quebec, place of residence of mother","2016A000224","Age of mother, 40 to 44 years","Percentage of live births","Percentage","242","units","0","v21404606","6.8.2","0.9","","","","1"
"1991","Quebec, place of residence of mother","2016A000224","Age of mother, 45 to 49 years","Number of live births","Number","223","units","0","v21404607","6.9.1","20","","","","0"
"1991","Quebec, place of residence of mother","2016A000224","Age of mother, 45 to 49 years","Percentage of live births","Percentage","242","units","0","v21404608","6.9.2","0.0","","","","1"
"1991","Quebec, place of residence of mother","2016A000224","Age of mother, not stated","Number of live births","Number","223","units","0","v21404609","6.10.1","0","","","","0"
"1991","Quebec, place of residence of mother","2016A000224","Age of mother, not stated","Percentage of live births","Percentage","242","units","0","v21404610","6.10.2","0.0","","","","1"
"1991","Ontario, place of residence of mother","2016A000235","Age of mother, all ages","Number of live births","Number","223","units","0","v21404611","7.1.1","152711","","","","0"
"1991","Ontario, place of residence of mother","2016A000235","Age of mother, all ages","Percentage of live births","Percentage","242","units","0","v21404612","7.1.2","100.0","","","","1"
"1991","Ontario, place of residence of mother","2016A000235","Age of mother, under 15 years","Number of live births","Number","223","units","0","v21404613","7.2.1","43","","","","0"
"1991","Ontario, place of residence of mother","2016A000235","Age of mother, under 15 years","Percentage of live births","Percentage","242","units","0","v21404614","7.2.2","0.0","","","","1"
"1991","Ontario, place of residence of mother","2016A000235","Age of mother, 15 to 19 years","Number of live births","Number","223","units","0","v21404615","7.3.1","7586","","","","0"
"1991","Ontario, place of residence of mother","2016A000235","Age of mother, 15 to 19 years","Percentage of live births","Percentage","242","units","0","v21404616","7.3.2","5.0","","","","1"
"1991","Ontario, place of residence of mother","2016A000235","Age of mother, 20 to 24 years","Number of live births","Number","223","units","0","v21404617","7.4.1","26420","","","","0"
"1991","Ontario, place of residence of mother","2016A000235","Age of mother, 20 to 24 years","Percentage of live births","Percentage","242","units","0","v21404618","7.4.2","17.3","","","","1"
"1991","Ontario, place of residence of mother","2016A000235","Age of mother, 25 to 29 years","Number of live births","Number","223","units","0","v21404619","7.5.1","59213","","","","0"
"1991","Ontario, place of residence of mother","2016A000235","Age of mother, 25 to 29 years","Percentage of live births","Percentage","242","units","0","v21404620","7.5.2","38.8","","","","1"
"1991","Ontario, place of residence of mother","2016A000235","Age of mother, 30 to 34 years","Number of live births","Number","223","units","0","v21404621","7.6.1","43406","","","","0"
"1991","Ontario, place of residence of mother","2016A000235","Age of mother, 30 to 34 years","Percentage of live births","Percentage","242","units","0","v21404622","7.6.2","28.4","","","","1"
"1991","Ontario, place of residence of mother","2016A000235","Age of mother, 35 to 39 years","Number of live births","Number","223","units","0","v21404623","7.7.1","14163","","","","0"
"1991","Ontario, place of residence of mother","2016A000235","Age of mother, 35 to 39 years","Percentage of live births","Percentage","242","units","0","v21404624","7.7.2","9.3","","","","1"
"1991","Ontario, place of residence of mother","2016A000235","Age of mother, 40 to 44 years","Number of live births","Number","223","units","0","v21404625","7.8.1","1816","","","","0"
"1991","Ontario, place of residence of mother","2016A000235","Age of mother, 40 to 44 years","Percentage of live births","Percentage","242","units","0","v21404626","7.8.2","1.2","","","","1"
"1991","Ontario, place of residence of mother","2016A000235","Age of mother, 45 to 49 years","Number of live births","Number","223","units","0","v21404627","7.9.1","64","","","","0"
"1991","Ontario, place of residence of mother","2016A000235","Age of mother, 45 to 49 years","Percentage of live births","Percentage","242","units","0","v21404628","7.9.2","0.0","","","","1"
"1991","Ontario, place of residence of mother","2016A000235","Age of mother, not stated","Number of live births","Number","223","units","0","v21404629","7.10.1","0","","","","0"
"1991","Ontario, place of residence of mother","2016A000235","Age of mother, not stated","Percentage of live births","Percentage","242","units","0","v21404630","7.10.2","0.0","","","","1"
"1991","Manitoba, place of residence of mother","2016A000246","Age of mother, all ages","Number of live births","Number","223","units","0","v21404631","8.1.1","17281","","","","0"
"1991","Manitoba, place of residence of mother","2016A000246","Age of mother, all ages","Percentage of live births","Percentage","242","units","0","v21404632","8.1.2","100.0","","","","1"
"1991","Manitoba, place of residence of mother","2016A000246","Age of mother, under 15 years","Number of live births","Number","223","units","0","v21404633","8.2.1","30","","","","0"
"1991","Manitoba, place of residence of mother","2016A000246","Age of mother, under 15 years","Percentage of live births","Percentage","242","units","0","v21404634","8.2.2","0.2","","","","1"
"1991","Manitoba, place of residence of mother","2016A000246","Age of mother, 15 to 19 years","Number of live births","Number","223","units","0","v21404635","8.3.1","1728","","","","0"
"1991","Manitoba, place of residence of mother","2016A000246","Age of mother, 15 to 19 years","Percentage of live births","Percentage","242","units","0","v21404636","8.3.2","10.0","","","","1"
"1991","Manitoba, place of residence of mother","2016A000246","Age of mother, 20 to 24 years","Number of live births","Number","223","units","0","v21404637","8.4.1","3910","","","","0"
"1991","Manitoba, place of residence of mother","2016A000246","Age of mother, 20 to 24 years","Percentage of live births","Percentage","242","units","0","v21404638","8.4.2","22.6","","","","1"
"1991","Manitoba, place of residence of mother","2016A000246","Age of mother, 25 to 29 years","Number of live births","Number","223","units","0","v21404639","8.5.1","6131","","","","0"
"1991","Manitoba, place of residence of mother","2016A000246","Age of mother, 25 to 29 years","Percentage of live births","Percentage","242","units","0","v21404640","8.5.2","35.5","","","","1"
"1991","Manitoba, place of residence of mother","2016A000246","Age of mother, 30 to 34 years","Number of live births","Number","223","units","0","v21404641","8.6.1","4096","","","","0"
"1991","Manitoba, place of residence of mother","2016A000246","Age of mother, 30 to 34 years","Percentage of live births","Percentage","242","units","0","v21404642","8.6.2","23.7","","","","1"
"1991","Manitoba, place of residence of mother","2016A000246","Age of mother, 35 to 39 years","Number of live births","Number","223","units","0","v21404643","8.7.1","1205","","","","0"
"1991","Manitoba, place of residence of mother","2016A000246","Age of mother, 35 to 39 years","Percentage of live births","Percentage","242","units","0","v21404644","8.7.2","7.0","","","","1"
"1991","Manitoba, place of residence of mother","2016A000246","Age of mother, 40 to 44 years","Number of live births","Number","223","units","0","v21404645","8.8.1","172","","","","0"
"1991","Manitoba, place of residence of mother","2016A000246","Age of mother, 40 to 44 years","Percentage of live births","Percentage","242","units","0","v21404646","8.8.2","1.0","","","","1"
"1991","Manitoba, place of residence of mother","2016A000246","Age of mother, 45 to 49 years","Number of live births","Number","223","units","0","v21404647","8.9.1","7","","","","0"
"1991","Manitoba, place of residence of mother","2016A000246","Age of mother, 45 to 49 years","Percentage of live births","Percentage","242","units","0","v21404648","8.9.2","0.0","","","","1"
"1991","Manitoba, place of residence of mother","2016A000246","Age of mother, not stated","Number of live births","Number","223","units","0","v21404649","8.10.1","2","","","","0"
"1991","Manitoba, place of residence of mother","2016A000246","Age of mother, not stated","Percentage of live births","Percentage","242","units","0","v21404650","8.10.2","0.0","","","","1"
"1991","Saskatchewan, place of residence of mother","2016A000247","Age of mother, all ages","Number of live births","Number","223","units","0","v21404651","9.1.1","15314","","","","0"
"1991","Saskatchewan, place of residence of mother","2016A000247","Age of mother, all ages","Percentage of live births","Percentage","242","units","0","v21404652","9.1.2","100.0","","","","1"
"1991","Saskatchewan, place of residence of mother","2016A000247","Age of mother, under 15 years","Number of live births","Number","223","units","0","v21404653","9.2.1","33","","","","0"
"1991","Saskatchewan, place of residence of mother","2016A000247","Age of mother, under 15 years","Percentage of live births","Percentage","242","units","0","v21404654","9.2.2","0.2","","","","1"
"1991","Saskatchewan, place of residence of mother","2016A000247","Age of mother, 15 to 19 years","Number of live births","Number","223","units","0","v21404655","9.3.1","1685","","","","0"
"1991","Saskatchewan, place of residence of mother","2016A000247","Age of mother, 15 to 19 years","Percentage of live births","Percentage","242","units","0","v21404656","9.3.2","11.0","","","","1"
"1991","Saskatchewan, place of residence of mother","2016A000247","Age of mother, 20 to 24 years","Number of live births","Number","223","units","0","v21404657","9.4.1","3723","","","","0"
"1991","Saskatchewan, place of residence of mother","2016A000247","Age of mother, 20 to 24 years","Percentage of live births","Percentage","242","units","0","v21404658","9.4.2","24.3","","","","1"
"1991","Saskatchewan, place of residence of mother","2016A000247","Age of mother, 25 to 29 years","Number of live births","Number","223","units","0","v21404659","9.5.1","5535","","","","0"
"1991","Saskatchewan, place of residence of mother","2016A000247","Age of mother, 25 to 29 years","Percentage of live births","Percentage","242","units","0","v21404660","9.5.2","36.1","","","","1"
"1991","Saskatchewan, place of residence of mother","2016A000247","Age of mother, 30 to 34 years","Number of live births","Number","223","units","0","v21404661","9.6.1","3310","","","","0"
"1991","Saskatchewan, place of residence of mother","2016A000247","Age of mother, 30 to 34 years","Percentage of live births","Percentage","242","units","0","v21404662","9.6.2","21.6","","","","1"
"1991","Saskatchewan, place of residence of mother","2016A000247","Age of mother, 35 to 39 years","Number of live births","Number","223","units","0","v21404663","9.7.1","929","","","","0"
"1991","Saskatchewan, place of residence of mother","2016A000247","Age of mother, 35 to 39 years","Percentage of live births","Percentage","242","units","0","v21404664","9.7.2","6.1","","","","1"
"1991","Saskatchewan, place of residence of mother","2016A000247","Age of mother, 40 to 44 years","Number of live births","Number","223","units","0","v21404665","9.8.1","98","","","","0"
"1991","Saskatchewan, place of residence of mother","2016A000247","Age of mother, 40 to 44 years","Percentage of live births","Percentage","242","units","0","v21404666","9.8.2","0.6","","","","1"
"1991","Saskatchewan, place of residence of mother","2016A000247","Age of mother, 45 to 49 years","Number of live births","Number","223","units","0","v21404667","9.9.1","1","","","","0"
"1991","Saskatchewan, place of residence of mother","2016A000247","Age of mother, 45 to 49 years","Percentage of live births","Percentage","242","units","0","v21404668","9.9.2","0.0","","","","1"
"1991","Saskatchewan, place of residence of mother","2016A000247","Age of mother, not stated","Number of live births","Number","223","units","0","v21404669","9.10.1","0","","","","0"
"1991","Saskatchewan, place of residence of mother","2016A000247","Age of mother, not stated","Percentage of live births","Percentage","242","units","0","v21404670","9.10.2","0.0","","","","1"
"1991","Alberta, place of residence of mother","2016A000248","Age of mother, all ages","Number of live births","Number","223","units","0","v21404671","10.1.1","42782","","","","0"
